location,date,source_a,source_b,metric,source_a_value,source_b_value,difference,drift_detected,location_status
DTW,2026-06-23,weatherapi,meteostat,Avg Temp (F),67.4,65.84,1.56,False,DRIFT DETECTED
DTW,2026-06-23,weatherapi,meteostat,Max Temp (F),78.9,73.76,5.14,True,DRIFT DETECTED
DTW,2026-06-23,weatherapi,meteostat,Min Temp (F),56.2,57.2,1.0,False,DRIFT DETECTED
DTW,2026-06-23,weatherapi,meteostat,Humidity (%),57,,,False,DRIFT DETECTED
DTW,2026-06-23,weatherapi,meteostat,Precipitation (in),0.0,0.0,0.0,False,DRIFT DETECTED
DTW,2026-06-23,weatherapi,meteostat,Wind (mph),9.6,7.33,2.27,True,DRIFT DETECTED
ATL,2026-06-23,weatherapi,meteostat,Avg Temp (F),76.3,74.3,2.0,False,DRIFT DETECTED
ATL,2026-06-23,weatherapi,meteostat,Max Temp (F),83.8,80.06,3.74,True,DRIFT DETECTED
ATL,2026-06-23,weatherapi,meteostat,Min Temp (F),71.1,68.36,2.74,True,DRIFT DETECTED
ATL,2026-06-23,weatherapi,meteostat,Humidity (%),70,,,False,DRIFT DETECTED
ATL,2026-06-23,weatherapi,meteostat,Precipitation (in),0.21,0.1299,0.0801,False,DRIFT DETECTED
ATL,2026-06-23,weatherapi,meteostat,Wind (mph),13.4,10.63,2.77,True,DRIFT DETECTED
